method	panel_count	samples	mean_official_L1_pp	mean_delta_current_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels	mean_official_Pearson	mean_delta_current_Pearson
lopo_hgb_log_l2_1_blend0.75	4	0,1,11,2,28,5,6,7	36.60726953614422	-0.09059261337608046	0.06280326322476822	3	1	0.9109427281794202	0.0007121317688634313
lopo_hgb_log_l2_0.1_blend0.75	4	0,1,11,2,28,5,6,7	36.6220217000704	-0.07584044944990358	0.09225952343259121	3	1	0.9107747124284677	0.0005441160179109709
lopo_rf_log_leaf3_blend0.75	4	0,1,11,2,28,5,6,7	36.64512855423117	-0.05273359528913331	-0.016493883274701915	4	0	0.910305251530185	7.46551196280874e-05
lopo_hgb_log_l2_1_blend0.5	4	0,1,11,2,28,5,6,7	36.66227584919732	-0.035586300322981636	0.017193622514991347	3	1	0.9104763855521927	0.0002457891416358567
lopo_hgb_log_l2_0.1_blend0.5	4	0,1,11,2,28,5,6,7	36.66789215683457	-0.029969992685737745	0.025911871895313077	3	1	0.9104168441938731	0.00018624778331623645
lopo_rf_log_leaf3_blend0.5	4	0,1,11,2,28,5,6,7	36.68010235289575	-0.017759796624552033	-0.005680770360280067	4	0	0.9102563051681716	2.5708757614775757e-05
lopo_hgb_log_l2_1_blend0.25	4	0,1,11,2,28,5,6,7	36.68532270882925	-0.012539440691053283	0.0034644403751370825	3	1	0.9103134914309874	8.28950204305919e-05
lopo_hgb_log_l2_0.1_blend0.25	4	0,1,11,2,28,5,6,7	36.6869783150113	-0.010883834509002321	0.005280355890769843	3	1	0.9102932337910428	6.263738048578604e-05
lopo_rf_log_leaf3_blend0.25	4	0,1,11,2,28,5,6,7	36.691924592745536	-0.005937556774764818	-0.0019081918856797369	4	0	0.9102392598330815	8.663422524674003e-06
current_calibrated_abundance	4	0,1,11,2,28,5,6,7	36.697862149520304	0.0	0.0	0	0	0.9102305964105569	0.0
lopo_rf_log_leaf3_blend1	4	0,1,11,2,28,5,6,7	45.96077306137896	9.262910911858656	10.594377605266276	0	4	0.9000962251036603	-0.010134371306896577
lopo_hgb_log_l2_1_blend1	4	0,1,11,2,28,5,6,7	59.49143321294197	22.793571063421663	37.42693770895723	0	4	0.8135995059181501	-0.09663109049240667
lopo_hgb_log_l2_0.1_blend1	4	0,1,11,2,28,5,6,7	60.65172152770976	23.953859378189456	38.51389508928157	0	4	0.8162127727797435	-0.09401782363081333
lopo_ridge_log_alpha10_blend0.25	4	0,1,11,2,28,5,6,7	63.64319596920506	26.945333819684755	88.64478701410663	1	3	0.883981312421534	-0.026249283989022893
lopo_ridge_log_alpha1_blend0.25	4	0,1,11,2,28,5,6,7	65.72337351839991	29.0255113688796	88.64479251316853	2	2	0.8847541500715403	-0.02547644633901644
lopo_ridge_log_alpha1_blend0.75	4	0,1,11,2,28,5,6,7	65.81030276843687	29.112440618916555	88.64479251316875	1	3	0.8847172814960438	-0.025513314914513145
lopo_ridge_log_alpha1_blend0.5	4	0,1,11,2,28,5,6,7	65.81859584118678	29.120733691666473	88.64479251316872	2	2	0.8847420119073367	-0.02548858450322014
lopo_ridge_log_alpha10_blend0.5	4	0,1,11,2,28,5,6,7	68.76147026725602	32.06360811773571	88.64478701506914	1	3	0.8765476411918269	-0.03368295521872987
lopo_ridge_log_alpha10_blend0.75	4	0,1,11,2,28,5,6,7	72.56907224083645	35.87121009131615	88.64478701539001	1	3	0.8721433984814291	-0.03808719792912768
lopo_ridge_log_alpha1_blend1	4	0,1,11,2,28,5,6,7	113.36937001568657	76.67150786616628	88.64479251316881	0	4	0.6246937173617896	-0.28553687904876734
lopo_ridge_log_alpha10_blend1	4	0,1,11,2,28,5,6,7	121.49230846874731	84.794446319227	103.77873859827525	0	4	0.5858683238249635	-0.3243622725855933
