dataset	method	samples	mean_F1	mean_l1	mean_delta_current_l1	max_sample_worse_l1	improved_samples	worsened_samples	mean_tp_abundance_pearson	mean_delta_current_tp_pearson
plant_holdout	current_calibrated_abundance	3,4,5	0.6120155806430317	0.8229862784238233	0.0	0.0	0	0	0.9223542155631529	0.0
plant_holdout	rf_log_leaf3_blend0.25	3,4,5	0.6120155806430317	0.8231122027024157	0.00012592427859229685	0.00018770516121868752	0	3	0.9222889158619682	-6.529970118474004e-05
plant_holdout	rf_log_leaf3_blend0.5	3,4,5	0.6120155806430317	0.8233636367141944	0.00037735829037103635	0.0005623697824925777	0	3	0.9221580698640923	-0.0001961456990604941
plant_holdout	rf_log_leaf3_blend0.75	3,4,5	0.6120155806430317	0.8241146395371168	0.0011283611132934708	0.0016804334459314951	0	3	0.921763610707638	-0.0005906048555148757
plant_holdout	rf_log_leaf3_full	3,4,5	0.6120155806430317	1.1402045354652544	0.317218257041431	0.3711194438448818	0	3	0.6787124987180028	-0.2436417168451502
strainmadness	current_calibrated_abundance	0,1,2	0.6287371239491623	0.7597788927390332	0.0	0.0	0	0	0.8238216511400668	0.0
strainmadness	rf_log_leaf3_blend0.25	0,1,2	0.6287371239491623	0.759637993235652	-0.00014089950338129023	-7.819503888994994e-05	3	0	0.823975941463846	0.00015429032377919002
strainmadness	rf_log_leaf3_blend0.5	0,1,2	0.6287371239491623	0.7593565184966398	-0.0004223742423935158	-0.00023446245090275042	3	0	0.8242832185422876	0.00046156740222077125
strainmadness	rf_log_leaf3_blend0.75	0,1,2	0.6287371239491623	0.75851467815568	-0.0012642145833533514	-0.000702285666320579	3	0	0.8251946702091696	0.0013730190691027728
strainmadness	rf_log_leaf3_full	0,1,2	0.6287371239491623	0.8573645487371295	0.09758565599809621	0.17093058472635914	0	3	0.5845712666631948	-0.23925038447687197
