metric	value	unit
next_sample	-1	sample_id
tmp_total_bytes	532608356352	bytes
tmp_used_bytes	520835383296	bytes
tmp_free_bytes	11756195840	bytes
tmp_free_GiB	10.949	GiB
observed_max_hmp_fastq_bytes	4548802841	bytes
observed_max_hmp_sylph_sketch_bytes	133383911	bytes
observed_max_hmp_minco_work_bytes	258285848	bytes
safety_buffer_bytes	2147483648	bytes
estimated_required_free_bytes	7087956248	bytes
estimated_required_free_GiB	6.601	GiB
min_recommended_free_bytes	12884901888	bytes
headroom_pass	False	boolean
alternate_work_root	/mnt/new3T/minco_release_holdouts_20260628	path
alternate_free_bytes	91588923392	bytes
alternate_free_GiB	85.299	GiB
alternate_headroom_pass	True	boolean
recommended_action	run_with_alternate_work_root	decision
