section	method	samples	F1	L1	Pearson	FP_plus_FN_or_pooled	decision	source
mixed_readiness	MinCO universal-auto-exact current default	26	0.709347972370461	0.623300343952851	0.9391545161294316	42.26923076923077	current_minco_default	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv
mixed_readiness	legacy probability gate prob035_all	26	0.6962140014725594	0.615276881140915	0.9381230061277276	43.30769230769231	legacy_baseline	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv
cami3_toy_human_gut	MinCO universal-auto-exact	6	0.7647449184553891	0.6544471762755544	0.960564227116928	44.5	supports_F1_priority	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv
cami3_toy_human_gut	Sylph	6	0.6849133619755934	0.4711466916495253	0.996572894285334	57.66666666666666	abundance_baseline_better	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv
cami3_toy_human_gut_gtdb_taxid_transfer	MinCO universal-auto-exact GTDB taxid transfer	0,1,2,3,4,5	0.7013292819397322	74.67452292927352	0.6859316968864118	TP/FP/FN=108/8/81	supports_F1_priority_with_partial_transfer	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_taxid_transfer_summary.tsv
cami3_toy_human_gut_gtdb_taxid_transfer	Sylph GTDB taxid transfer	0,1,2,3,4,5	0.4042283257908639	144.73175749373797	0.42766024239312417	TP/FP/FN=127/312/62	lower_F1_in_partial_transfer	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_taxid_transfer_summary.tsv
cami3_toy_human_gut_gtdb_source_readmap	MinCO universal-auto-exact GTDB source-readmap	0,1,2	0.8159567931704953	62.7320290334245	0.8239151096773089	TP/FP/FN=246/62/50	supports_F1_priority_with_partial_source_truth	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_source_readmap_summary.tsv
cami3_toy_human_gut_gtdb_source_readmap	Sylph GTDB source-readmap	0,1,2	0.7415214328232254	32.63284073098532	0.9457083656688968	TP/FP/FN=190/26/106	better_abundance_in_partial_source_truth	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_source_readmap_summary.tsv
hmp_airskin_gtdb_source_abundance	MinCO current-code GTDB source-abundance refresh exact6	6,11	0.9610576923076923	22.780570236553878	0.9256139889209761	TP/FP/FN=47/1/2	counterexample_abundance_and_slight_F1	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance	Sylph GTDB source-abundance	6,11	0.9705882352941176	5.133659105526774	0.9965722222341706	TP/FP/FN=49/2/0	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_summary.tsv
hmp_airskin28_gtdb_source_abundance	MinCO current default GTDB source-abundance sample28	28	0.888888888888889	18.352633533107475	0.9890339281762488	TP/FP/FN=12/3/0	new_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin28_r232_source_abundance_summary.tsv
hmp_airskin28_gtdb_source_abundance	Sylph r232 GTDB source-abundance sample28	28	0.923076923076923	1.80306342230474	0.9999332238502313	TP/FP/FN=12/2/0	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin28_r232_source_abundance_summary.tsv
hmp_airskin22_gtdb_source_abundance	MinCO current default GTDB source-abundance sample22	22	0.6440677966101696	20.648590840357787	0.9885915958918304	TP/FP/FN=19/19/2	new_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin22_r232_source_abundance_summary.tsv
hmp_airskin22_gtdb_source_abundance	Sylph r232 GTDB source-abundance sample22	22	0.909090909090909	6.04369201147041	0.9970787600380688	TP/FP/FN=20/3/1	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin22_r232_source_abundance_summary.tsv
