panel	sample	profile	collapse_rule	called_rows_mapped	called_species_mapped	exact_path	exact_available
cami2_toy_mouse_gut	5	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	max	162	162	/tmp/cami2_toymouse_current_default_20260626/run/sample5_default/minco.best_diff_split.exact.unfiltered.tsv	True
cami2_toy_mouse_gut	6	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	max	157	157	/tmp/cami2_toymouse_current_default_20260626/run/sample6_default/minco.best_diff_split.exact.unfiltered.tsv	True
cami2_toy_mouse_gut	7	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	max	64	64	/tmp/cami2_toymouse_current_default_20260626/run/sample7_default/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv	sum	36	36	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	1	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	sum	99	99	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	3	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	sum	47	47	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	4	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	sum	137	137	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	5	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	sum	26	26	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	6	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	sum	16	16	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	7	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	sum	89	89	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	9	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv	sum	102	102	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	sum	69	69	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	11	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	sum	32	32	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_split_exact_unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	13	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	sum	40	40		False
hmp_airskin_gtdb_source_abundance	14	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	sum	30	30	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	sum	22	22	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	16	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	sum	10	10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	17	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	sum	73	73	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	18	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	sum	26	26	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	19	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	sum	147	147	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	20	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	sum	106	106	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	21	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv	sum	41	41	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	22	/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv	sum	38	38	/tmp/minco_current_code_hmp_airskin22_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	23	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	sum	36	36	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	24	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	sum	26	26	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	25	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	sum	76	76	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_airskin_gtdb_source_abundance	28	/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv	sum	15	15		False
hmp_gastrooral_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	sum	34	34	/tmp/minco_current_code_hmp_gastrooral_20260627/sample0_work/minco.best_diff_split.exact.unfiltered.tsv	True
hmp_gastrooral_gtdb_source_abundance	6	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv	sum	51	51	/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_s1000_gtdb_split_exact_unfiltered.tsv	True
cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	sum	94	94		False
cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	sum	99	99		False
cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv	sum	115	115	/tmp/cami3_toy_human_gut_20260626/run/sample2_exact_forced/minco.best_diff_split.exact.unfiltered.tsv	True
