method	panels	panel_count	mean_official_L1_pp	mean_delta_current_L1_pp	max_worse_current_L1_pp	improved_panel_count	worsened_panel_count	mean_official_Pearson	mean_delta_current_Pearson	decision
current_calibrated_abundance	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	37.00634593631354	0.0	0.0	0	0	0.918773050636007	0.0	current_default
exact_hit_abund_ge_0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	29.225563790068797	-7.780782146244739	0.4739951456229079	2	1	0.9442364449827547	0.025463394346747825	local_tradeoff_not_default
exact_hit_abund_ge_0.00	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	34.05865714874863	-2.9476887875649043	18.0413988684787	2	2	0.9460422915436043	0.027269240907597386	local_tradeoff_not_default
exact_hit_abund_ge_0.10	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	29.107065003663113	-7.899280932650424	3.1441516057384433e-13	2	0	0.9440801544523469	0.025307103816339993	worse_or_equal
exact_hit_abund_ge_0.15	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	29.107065003663113	-7.899280932650424	3.1441516057384433e-13	2	0	0.9440801544523469	0.025307103816339993	worse_or_equal
exact_hit_abund_ge_0.20	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	29.107065003663113	-7.899280932650424	3.1441516057384433e-13	2	0	0.9440801544523469	0.025307103816339993	worse_or_equal
exact_hit_abund_ge_0.25	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	29.107065003663113	-7.899280932650424	3.1441516057384433e-13	2	0	0.9440801544523469	0.025307103816339993	worse_or_equal
exact_hit_abund_ge_0.30	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	29.481672840167487	-7.5246730961460475	3.1441516057384433e-13	1	0	0.9415998144064608	0.022826763770453895	worse_or_equal
current_calibrated_raw	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	37.00634593631368	1.4432899320127035e-13	3.1441516057384433e-13	0	0	0.9187730506360068	-1.6653345369377348e-16	worse_or_equal
exact_hit_abund_ge_0.40	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	37.00634593631368	1.4432899320127035e-13	3.1441516057384433e-13	0	0	0.9187730506360068	-1.6653345369377348e-16	worse_or_equal
exact_hit_abund_ge_0.50	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	4	37.00634593631368	1.4432899320127035e-13	3.1441516057384433e-13	0	0	0.9187730506360068	-1.6653345369377348e-16	worse_or_equal
