panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
cami2_toy_mouse_gut	validated_current_no_exact	5,6,7	0.8938387600398773	0.8776470588235294	373	10	94	15.339987166975057	13.767837122926556	0.9875965696706616	0.987976607726638	13.767837122926556	0.987976607726638	13.767837122926556	0.987976607726638	0.0	0.0
cami2_toy_mouse_gut	validated_exact_hit_ge_0.10	5,6,7	0.8938387600398773	0.8776470588235294	373	10	94	15.339987166975376	13.76783712292687	0.9875965696706613	0.9879766077266378	13.76783712292687	0.9879766077266378	13.767837122926556	0.987976607726638	3.1441516057384433e-13	-2.220446049250313e-16
cami2_toy_mouse_gut	validated_exact_hit_ge_0.30	5,6,7	0.8938387600398773	0.8776470588235294	373	10	94	15.339987166975376	13.76783712292687	0.9875965696706613	0.9879766077266378	13.76783712292687	0.9879766077266378	13.767837122926556	0.987976607726638	3.1441516057384433e-13	-2.220446049250313e-16
cami3_toy_human_gut_gtdb_source_readmap	validated_current_no_exact	0,1,2	0.8257301517275047	0.8243021346469621	251	62	45	57.74723423801299	47.38958150795989	0.8643207577444599	0.8772391411372208	57.74723423801299	0.8643207577444599	57.74723423801299	0.8643207577444599	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	validated_exact_hit_ge_0.30	0,1,2	0.8257301517275047	0.8243021346469621	251	62	45	57.74723423801299	47.38958150795989	0.8643207577444599	0.8772391411372208	57.74723423801299	0.8643207577444599	57.74723423801299	0.8643207577444599	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	validated_exact_hit_ge_0.10	0,1,2	0.8257301517275047	0.8243021346469621	251	62	45	77.61608572883847	61.087168079395575	0.7787267035604163	0.8166283999771725	77.61608572883847	0.7787267035604163	57.74723423801299	0.8643207577444599	19.868851490825477	-0.08559405418404364
hmp_airskin_gtdb_source_abundance	validated_exact_hit_ge_0.10	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	21.702631593666457	16.07270329391402	0.9828600936953632	0.9895892007336425	21.702631593666457	0.9828600936953632	22.53852648257849	0.9809237855745335	-0.8358948889120335	0.0019363081208296773
hmp_airskin_gtdb_source_abundance	validated_current_no_exact	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257849	16.915586755726274	0.9809237855745335	0.9876424418902087	22.53852648257849	0.9809237855745335	22.53852648257849	0.9809237855745335	0.0	0.0
hmp_airskin_gtdb_source_abundance	validated_exact_hit_ge_0.30	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726423	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_gastrooral_gtdb_source_abundance	validated_exact_hit_ge_0.10	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.679629164180273	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
hmp_gastrooral_gtdb_source_abundance	validated_exact_hit_ge_0.30	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.679629164180273	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
hmp_gastrooral_gtdb_source_abundance	validated_current_no_exact	0,6	0.9195678271308523	0.9156626506024096	76	9	5	48.986991106324496	46.62558013379832	0.8822766995655476	0.8825793655462641	48.986991106324496	0.8822766995655476	48.986991106324496	0.8822766995655476	0.0	0.0
