taxid	species_name	gtdb_species	call_status	gtdb_mapping_method	calibrated_probability	calibrated_abundance	reported_ani	u_XnY_ctx_max	s_XnY_ctx_max	u_Ref_breadth_max	s_Ref_breadth_max	u_Real_min_align_fraction_max	s_Real_min_align_fraction_max	u_Ref_zip_af_max	s_Ref_zip_af_max	u_Ref_hit_mean_depth_max	s_Ref_hit_mean_depth_max	tail_rescue_added	low_extra_split_rescue_added	candidate_rescue_added	raw_unique_fallback	auto_exact_split_used	s_best_accession	u_best_accession
1720	Corynebacterium sp.	s__Corynebacterium sp030530965	FP	best_ref_s_best_accession:exact_accession	0.6068453185354289	0.0417758476784964	0.922505	86.0	337	0.086	0.181793	0.086	0.337	1.0	0.181793	5.5625	32.520939	False	False	False	False	True	GCF_030530965.1	GCF_022712275.1
1328	Streptococcus anginosus	s__Streptococcus anginosus	FP	best_ref_s_best_accession:exact_accession	0.6247864240301507	0.003407529278029	0.909847	35.0	320	0.035	0.12791	0.035	0.32	0.635944	0.137607	1.052632	2.947625	False	False	False	False	True	GCF_900636475.1	GCF_900636475.1
85401	Mannheimia glucosida	s__Mannheimia glucosida	FP	best_ref_s_best_accession:exact_accession	0.5857744982009816	0.000814262936363	0.931568	35.0	195	0.035	0.104177	0.035	0.195	1.0	0.221904	1.0	1.350197	False	False	False	False	True	GCF_046267875.1	GCF_046267875.1
1785128	Acinetobacter lactucae	s__Acinetobacter lactucae	FP	best_ref_s_best_accession:exact_accession	0.3623606868708715	0.0006931363303505	0.874751	9.0	111	0.009	0.026513	0.009	0.111	1.0	0.063579	1.0	1.293933	False	False	False	False	True	GCF_001605885.1	GCF_001605885.1
28097	Ralstonia syzygii	s__Ralstonia syzygii	FP	best_ref_s_best_accession:exact_accession	0.5488971629234318	0.0004663868660596	0.908228	25.0	78	0.025	0.040429	0.025	0.078	0.329277	0.132789	1.04	1.192493	False	False	False	False	True	GCA_919592095.1	GCA_919592095.1
1763824	Sphingomonas aquatica	s__Sphingomonas aquatica	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_037173185.1	GCF_037173185.1
1785996	Leptotrichia sp. oral taxon 847	s__Leptotrichia sp001553645	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_001553645.1	GCF_001553645.1
1805372	Candidatus Rokubacteria bacterium 13_2_20CM_69_15_1	s__20CM-2-70-11 sp001914535	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_001914535.1	GCA_001914535.1
1950418	Bacteroidales bacterium UBA1711	s__Colimorpha sp002317325	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_002317325.1	GCA_002317325.1
1951933	Holosporaceae bacterium UBA5542	s__UBA5542 sp002426825	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_002426825.1	GCA_002426825.1
1961551	Desulfobulbaceae bacterium UBA5121	s__UBA5123 sp002414225	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_002414225.1	GCA_002414225.1
2735436	Mariniplasma anaerobium	s__Mariniplasma anaerobium	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_016865445.1	GCF_016865445.1
3034331	Polyangiaceae bacterium LLY-WYZ-14_1	s__DAPKRP01 sp031800515	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_031800515.1	GCA_031800515.1
392714	Nonlabens antarcticus	s__Nonlabens antarcticus	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_015356755.1	GCF_015356755.1
40841	Succiniclasticum ruminis	s__Succiniclasticum ruminis	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_900112895.1	GCF_900112895.1
570520	Xanthomarina spongicola	s__Xanthomarina spongicola	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_003148645.1	GCF_003148645.1
622674	Desulfitispora alkaliphila	s__Desulfitispora alkaliphila	FP	best_ref_s_best_accession:exact_accession	0.4083526746365919	5.138333206711348e-06	1.0	4.0	4	0.004	0.004	0.004	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_050433185.1	GCF_050433185.1
1434066	Psychroserpens luteus	s__Psychroserpens luteus	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_015319355.1	GCF_015319355.1
1919110	Bacteroidetes bacterium QS_8_68_28	s__QS-8-64-10 sp003022485	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_003022485.1	GCA_003022485.1
1946244	Christensenella sp. UBA1385	s__UBA1038 sp002305755	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_002305755.1	GCA_002305755.1
1961560	Desulfonatronaceae bacterium UBA663	s__Desulfonatronum sp002299865	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_002299865.1	GCA_002299865.1
2119	Malacoplasma muris	s__Malacoplasma muris	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_046774425.1	GCF_046774425.1
2593686	uncultured Ancrocorticia sp.	s__Peptidiphaga sp905373325	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCA_905373325.1	GCA_905373325.1
3158786	Ligilactobacillus sp. WC1T17	s__Ligilactobacillus ruminis_A	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_900110005.1	GCF_900110005.1
340095	Thermodesulfovibrio thiophilus	s__Thermodesulfovibrio thiophilus	FP	best_ref_s_best_accession:exact_accession	0.424859339980345	4.49604155587243e-06	1.0	3.0	4	0.003	0.0035	0.003	0.004	1.0	1.0	1.0	1.0	False	False	False	False	True	GCF_000423865.1	GCF_000423865.1
1280	Staphylococcus aureus	s__Staphylococcus aureus	TP	best_ref_s_best_accession:exact_accession	0.9929595066972516	0.2283634476752114	0.991486	716.0	998	0.716	0.829184	0.716	0.998	0.716	0.829184	19.600559	177.772481	False	False	False	False	True	GCF_001027105.1	GCF_001027105.1
1719	Corynebacterium pseudotuberculosis	s__Corynebacterium pseudotuberculosis	TP	best_ref_s_best_accession:exact_accession	0.9728690304318104	0.1456753360300798	0.998229	940.0	1000	0.94	0.961786	0.94	1.0	0.94	0.961786	16.748936	113.402778	False	False	False	False	True	GCF_002155265.1	GCF_002155265.1
575200	Corynebacterium maris	s__Corynebacterium maris	TP	best_ref_s_best_accession:exact_accession	0.9573145055345696	0.1226896373059499	0.994874	822.0	1000	0.822	0.893352	0.822	1.0	0.859926	0.893352	3.265207	95.509335	False	False	False	False	True	GCF_000442645.1	GCF_000442645.1
169292	Corynebacterium aurimucosum	s__Corynebacterium aurimucosum_F	TP	best_ref_s_best_accession:exact_accession	0.9515306792098844	0.1133765240627978	0.981855	500.0	1000	0.5	0.670857	0.5	1.0	0.527912	0.670857	3.104	88.259323	False	False	False	False	True	GCF_000022905.1	GCF_000022905.1
1727	Corynebacterium variabile	s__Corynebacterium variabile	TP	best_ref_s_best_accession:exact_accession	0.8233563861124886	0.088955494678921	0.98282	594.0	815	0.594	0.68526	0.594	0.815	0.651819	0.68526	2.658249	69.248546	False	False	False	False	True	GCF_006539825.1	GCF_006539825.1
28035	Staphylococcus lugdunensis	s__Staphylococcus lugdunensis	TP	best_ref_s_best_accession:exact_accession	0.9497740791019672	0.0564682815007607	0.995822	898.0	939	0.898	0.912187	0.898	0.939	1.0	0.912187	2.092428	43.958466	False	False	False	False	True	GCF_050882105.1	GCF_050882105.1
1718	Corynebacterium glutamicum	s__Corynebacterium glutamicum	TP	best_ref_s_best_accession:exact_accession	0.9718122519933085	0.0473470970013328	0.995745	851.0	1000	0.851	0.910643	0.851	1.0	0.859445	0.910643	4.668625	36.857959	False	False	False	False	True	GCF_000011325.1	GCF_000011325.1
487	Neisseria meningitidis	s__Neisseria meningitidis	TP	best_ref_s_best_accession:exact_accession	0.9143300521843982	0.0256516464606018	0.966063	297.0	941	0.297	0.473972	0.297	0.941	0.304329	0.473972	3.818182	19.968859	False	False	False	False	True	GCF_900638555.1	GCF_900638555.1
