panel	sample	gtdb_species	truth_abundance_pct	emitted_profile_candidate_present	raw_candidate_present	profile_path	raw_mode	raw_path	raw_ref	raw_accession	raw_taxid	raw_species_name	gtdb_mapping_method	ANI	XnY_ctx	Real_min_align_fraction	Ref_breadth	Ref_mean_depth	Ref_zip_af	Ref_zip_aaf_ani	Default_call	Default_call_rule
hmp_airskin_gtdb_source_abundance	4	s__Streptococcus hominis	1.3059733568633956	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_014287335.1_ASM1428733v1_genomic.fna.gz	GCF_014287335.1	2763067	Streptococcus hominis	exact_accession	0.940944	481.0	0.481	0.272719	2.588867	0.272739	0.940944	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	5	s__Lactobacillus sp945980025	1.4388489208633206	False	True	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	split_exact	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_945980025.1_SRR15725434_bin.8_metaWRAP_v1.3_MAG_genomic.fna.gz	GCA_945980025.1	153152	uncultured Lactobacillus sp.	exact_accession	0.912147	466.0	0.466	0.144748	2.41214	0.144748	0.912147	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	14	s__Streptococcus pneumoniae	1.4598540145984116	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001457635.1_NCTC7465_genomic.fna.gz	GCF_001457635.1	1313	Streptococcus pneumoniae	exact_accession	0.939047	887.0	0.887	0.261584	2.772023	0.261591	0.939047	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	15	s__Streptococcus pneumoniae	1.2762190825972712	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001457635.1_NCTC7465_genomic.fna.gz	GCF_001457635.1	1313	Streptococcus pneumoniae	exact_accession	0.93879	870.0	0.87	0.260062	2.206328	0.260116	0.93879	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	18	s__Streptococcus pneumoniae	1.7391304347829428	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001457635.1_NCTC7465_genomic.fna.gz	GCF_001457635.1	1313	Streptococcus pneumoniae	exact_accession	0.940563	893.0	0.893	0.27046	2.927138	0.270465	0.940563	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	20	s__Streptococcus anginosus	3.787570715137968	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_900636475.1_42197_F01_genomic.fna.gz	GCF_900636475.1	1328	Streptococcus anginosus	exact_accession	0.9374	561.0	0.561	0.252281	5.553931	0.252281	0.9374	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	23	s__G047199095 sp047199095	5.315529140332134	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCA_047199095.1_ASM4719909v1_genomic.fna.gz	GCA_047199095.1	562	Escherichia coli	exact_accession	0.927163	666.0	0.666	0.201408	10.574242	0.201408	0.927163	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	23	s__ECMA0423 sp047199055	2.0134580077015616	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCA_047199055.1_ASM4719905v1_genomic.fna.gz	GCA_047199055.1	562	Escherichia coli	exact_accession	0.930342	623.0	0.623	0.216	9.08334	0.216	0.930342	weak	below_default_call_thresholds
hmp_airskin_gtdb_source_abundance	25	s__Stenotrophomonas geniculata	1.3752455795676723	False	True	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	split_exact	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001431625.1_ASM143162v1_genomic.fna.gz	GCF_001431625.1	86188	Stenotrophomonas geniculata	exact_accession	0.930614	648.0	0.648	0.217266	1.923437	0.217297	0.930614	weak	below_default_call_thresholds
hmp_gastrooral_gtdb_source_abundance	0	s__Clostridium_F botulinum	8.611111111111212	False	True	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	split_exact	/tmp/minco_current_code_hmp_gastrooral_20260627/sample0_work/minco.best_diff_split.exact.unfiltered.tsv	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001276985.1_CBOT009-SEQ-1-ASM-1_genomic.fna.gz	GCF_001276985.1	1491	Clostridium botulinum	exact_accession	0.987029	958.0	0.958	0.751749	32.553725	0.751749	0.987029	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
