route	sample	status	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	raw_candidate_present	raw_mode	raw_accession	gtdb_mapping_method	ANI	XnY_ctx	Real_min_align_fraction	Ref_breadth	Ref_hit_mean_depth	Ref_zip_af	Ref_zip_aaf_ani	Default_call	Default_call_rule
cami3_source_readmap_extension_after_recovery	4	FN	s__Blautia_A obeum	0.1030464301905403	10.30464301905403	True	True	split	GCF_025147765.1	exact_accession	0.953173	697.0	0.697	0.356936	83.407437	0.356936	0.953173	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Hyperthermus butylicus	0.0687427882179502	6.87427882179502	True	True	split_exact	GCF_000015145.1	exact_accession	0.999847	1000.0	1.0	0.996648	36.919349	0.996648	0.999847	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Hyperthermus butylicus	0.0533066572568027	5.330665725680269	True	True	split_exact	GCF_000015145.1	exact_accession	0.999847	1000.0	1.0	0.996648	26.528566	0.996648	0.999847	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Hyperthermus butylicus	0.0510174654138663	5.10174654138663	True	True	split_exact	GCF_000015145.1	exact_accession	0.999847	1000.0	1.0	0.996648	26.540353	0.996648	0.999847	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Shewanella sp029835735	0.0338355626277488	3.3835562627748796	True	True	split_exact	GCF_029835735.1	exact_accession	0.933054	491.0	0.491	0.229277	16.988061	0.229277	0.933054	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Psychrobacter sp000586415	0.0241038641438541	2.4103864143854103	True	True	split_exact	GCF_904846625.1	exact_accession	0.847375	294.0	0.294	0.034796	7.592265	0.034814	0.847375	weak	below_default_call_thresholds
cami3_source_readmap_extension_after_recovery	5	FN	s__Blautia_A sp005848555	0.0216598268312338	2.16598268312338	True	True	split	GCF_005848555.1	exact_accession	0.945429	673.0	0.673	0.301025	15.083702	0.301025	0.945429	weak	below_default_call_thresholds
cami3_source_readmap_extension_after_recovery	4	FN	s__Blautia_A fusiformis	0.0215196830947594	2.15196830947594	True	True	split	GCF_020687435.1	exact_accession	0.931473	648.0	0.648	0.221441	18.277858	0.221441	0.931473	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Palaeococcus pacificus	0.017543630259902	1.7543630259902	True	True	split_exact	GCF_000725425.1	exact_accession	0.998512	1000.0	1.0	0.967702	9.194086	0.967801	0.998512	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Psychrobacter sp000586415	0.0150036285678142	1.50036285678142	True	True	split_exact	GCF_904846625.1	exact_accession	0.858303	343.0	0.343	0.043514	4.133624	0.044275	0.858303	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Psychrobacter sp000586415	0.0145134560003661	1.45134560003661	True	True	split_exact	GCF_904846625.1	exact_accession	0.859006	359.0	0.359	0.044204	4.148724	0.044966	0.859006	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Nitrosarchaeum limnae	0.0138069878134861	1.38069878134861	True	True	split_exact	GCA_000204585.1	exact_accession	0.996948	996.0	0.996	0.934264	7.064643	0.935068	0.996948	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Shewanella sp029835735	0.01240349253346	1.240349253346	True	True	split_exact	GCF_029835735.1	exact_accession	0.929034	453.0	0.453	0.209724	7.241301	0.209875	0.929034	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Methylomonas methanica	0.0079758632074084	0.7975863207408399	False	True	split_exact	GCF_001644045.1	exact_accession	0.663887	3.0	0.003	0.000609	4.802885	0.000615	0.663887	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Palaeococcus pacificus	0.0077233438893024	0.77233438893024	False	True	split_exact	GCF_000725425.1	exact_accession	0.998756	987.0	0.987	0.955702	4.102379	0.973007	0.998756	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Archaeoglobus fulgidus	0.0067045280531568	0.67045280531568	False	True	split_exact	GCF_000008665.1	exact_accession	0.993804	871.0	0.871	0.843133	3.507632	0.872566	0.993804	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Pyrococcus sp000211475	0.0063849477685972	0.63849477685972	False	True	split_exact	GCF_000211475.1	exact_accession	0.998825	951.0	0.951	0.93561	3.355539	0.97448	0.998825	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Clostridium cagae	0.0063806905659267	0.63806905659267	False	True	split_exact	GCF_900290265.1	exact_accession	0.95959	606.0	0.606	0.397817	3.549937	0.411056	0.95959	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Methanosarcina siciliae	0.005745787199478	0.5745787199478	False	True	split_exact	GCF_000970085.1	exact_accession	0.99388	944.0	0.944	0.833356	3.217228	0.874031	0.99388	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Palaeococcus pacificus	0.005745787199478	0.5745787199478	False	True	split_exact	GCF_000725425.1	exact_accession	0.998366	939.0	0.939	0.907702	3.006614	0.964688	0.998366	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Pyrococcus sp000211475	0.0056167276862103	0.56167276862103	False	True	split_exact	GCF_000211475.1	exact_accession	0.999565	949.0	0.949	0.93361	3.031688	0.990466	0.999565	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Clostridium cagae	0.0054262069149184	0.54262069149184	False	True	split_exact	GCF_900290265.1	exact_accession	0.958308	574.0	0.574	0.374525	2.953201	0.399624	0.958308	weak	below_default_call_thresholds
