panel	sample	rule	gtdb_species	truth_status	truth_abundance_pct	raw_accession	raw_ncbi_species_taxid	raw_ncbi_species	raw_gtdb_representative	raw_ANI	raw_XnY_ctx	raw_Ref_breadth	raw_Real_min_align_fraction	raw_Ref_mean_depth	profile_taxid_present	profile_taxid_called	profile_taxid_species_name	profile_calibrated_probability	profile_s_best_accession	profile_u_best_accession	profile_s_best_gtdb_species	profile_u_best_gtdb_species	profile_s_XnY_ctx_max	profile_u_XnY_ctx_max	profile_s_Ref_breadth_max	profile_u_Ref_breadth_max	collapse_reason	profile_path
hmp_airskin_gtdb_source_abundance	6	raw_side_cross_rule_ani90_xny100_br01_af70	s__Bifidobacterium swidsinskii	TP	1.886792452830171	GCF_003397705.1	2792979	Gardnerella swidsinskii	t	0.967075	824.0	0.414117	0.824	0.934139	True	False	Gardnerella swidsinskii	0.8875760130893747	GCF_003397705.1	GCF_003397705.1	s__Bifidobacterium swidsinskii	s__Bifidobacterium swidsinskii	832.0	239.0	0.418485	0.239	same_accession_profile_row_uncalled	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv
hmp_airskin_gtdb_source_abundance	14	raw_side_cross_rule_ani90_xny100_br01_af70	s__Streptococcus pneumoniae	TP	1.4598540145984116	GCF_001457635.1	1313	Streptococcus pneumoniae	t	0.939047	887.0	0.261584	0.887	2.772023	False	False		0.0					0.0	0.0	0.0	0.0	profile_taxid_absent	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv
hmp_airskin_gtdb_source_abundance	14	raw_side_cross_rule_ani90_xny100_br01_af70	s__Streptococcus pseudopneumoniae	TP	0.7299270072992409	GCF_002087075.1	257758	Streptococcus pseudopneumoniae	t	0.920236	703.0	0.172825	0.703	1.26419	False	False		0.0					0.0	0.0	0.0	0.0	profile_taxid_absent	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv
hmp_airskin_gtdb_source_abundance	15	raw_side_cross_rule_ani90_xny100_br01_af70	s__Streptococcus mitis_AK	TP	0.27481636806846027	GCF_001281025.1	28037	Streptococcus mitis	t	0.903202	896.0	0.110369	0.896	0.313366	False	False		0.0					0.0	0.0	0.0	0.0	profile_taxid_absent	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv
hmp_airskin_gtdb_source_abundance	15	raw_side_cross_rule_ani90_xny100_br01_af70	s__Streptococcus pneumoniae	TP	1.2762190825972712	GCF_001457635.1	1313	Streptococcus pneumoniae	t	0.93879	870.0	0.260062	0.87	2.206328	False	False		0.0					0.0	0.0	0.0	0.0	profile_taxid_absent	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv
hmp_airskin_gtdb_source_abundance	18	raw_side_cross_rule_ani90_xny100_br01_af70	s__Streptococcus pneumoniae	TP	1.7391304347829428	GCF_001457635.1	1313	Streptococcus pneumoniae	t	0.940563	893.0	0.27046	0.893	2.927138	False	False		0.0					0.0	0.0	0.0	0.0	profile_taxid_absent	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	raw_side_cross_rule_ani90_xny100_br01_af70	s__Haemophilus influenzae_D	TP	0.19654810335066114	GCF_900475755.1	727	Haemophilus influenzae	t	0.953232	802.0	0.349069	0.802	1.343535	True	True	Haemophilus influenzae	0.8522819131930176	GCF_001457655.1	GCF_900475755.1	s__Haemophilus influenzae	s__Haemophilus influenzae_D	929.0	184.0	0.361498	0.184	same_accession_called_mapping_gap	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	raw_side_cross_rule_ani90_xny100_br01_af70	s__Haemophilus influenzae_E	TP	0.22026431718061126	GCF_019703545.1	727	Haemophilus influenzae	t	0.947534	882.0	0.314122	0.882	1.764477	True	True	Haemophilus influenzae	0.8522819131930176	GCF_001457655.1	GCF_900475755.1	s__Haemophilus influenzae	s__Haemophilus influenzae_D	929.0	184.0	0.361498	0.184	taxid_collapsed_to_other_called_gtdb	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	raw_side_cross_rule_ani90_xny100_br01_af70	s__Haemophilus influenzae_I	FP	0.0	GCF_003494325.1	727	Haemophilus influenzae	t	0.934587	776.0	0.236613	0.776	1.446994	True	True	Haemophilus influenzae	0.8522819131930176	GCF_001457655.1	GCF_900475755.1	s__Haemophilus influenzae	s__Haemophilus influenzae_D	929.0	184.0	0.361498	0.184	taxid_collapsed_to_other_called_gtdb	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	raw_side_cross_rule_ani90_xny100_br01_af70	s__Streptococcus salivarius_D	TP	0.5519346756101331	GCF_002094975.1	1304	Streptococcus salivarius	t	0.938856	755.0	0.260258	0.755	1.823385	True	True	Streptococcus salivarius	0.8477905225201565	GCF_000785515.1	GCF_000785515.1	s__Streptococcus salivarius	s__Streptococcus salivarius	863.0	147.0	0.306228	0.147	taxid_collapsed_to_other_called_gtdb	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
